,clusters,x,y,Cluster_count,Fx,Fy,magnitude
0,-1,-54.4059243334469,-9.193841238858678,301615,-267563485.11670515,252438359.22741562,367852339.638104
1,0,2043.2324335106384,-2933.4153058510637,752,-1422560.90867,2008040.74885,2460875.2889811555
2,1,2528.723043478261,-2672.9066555183945,299,-379009.75419999997,-219192.97839,437828.68288204167
3,2,3094.53775,-2069.4445,40,-18795.378,-41080.641599999995,45176.15907124613
4,3,3185.138918918919,-1923.2097297297296,37,-90217.06,-35061.2742,96790.55152013127
5,4,3291.752740963855,-1474.4290813253012,664,134786.38957,-1584685.9141,1590407.751854935
6,5,1795.4310000000003,3296.751,150,216515.722,-101497.8673,239125.22857203858
7,6,979.3133677419356,-3548.414387096774,620,-244795.33345,99021.76225000001,264064.5085542399
8,7,-831.0850909090909,3646.718636363636,22,29014.5162,18022.80875,34156.460378076925
9,8,356.2322571428572,2861.2264285714286,70,33710.6815,-47884.8543,58560.81726313825
10,9,-1424.2617543859649,3188.0299999999997,57,19308.700500000003,12011.0874,22739.659969514476
11,10,-1686.0674999999999,3356.1865,20,-34359.684,1048.3919800000003,34375.67468899461
12,11,754.9934888888889,3101.992888888889,135,380.83495000000045,-55158.618472300004,55159.93316739875
13,12,-1494.9991304347827,3398.0934782608692,23,103720.958,20615.051,105749.78702659578
14,13,-1354.442091254753,3394.018517110266,263,36956.573359999995,50314.677774,62428.80035700279
15,14,-1180.565294117647,3330.3449019607842,51,129498.797,74676.48270000001,149487.50948788534
16,15,-1229.25,3513.2044827586205,29,25084.8528,6349.30386,25875.92509465659
17,16,-1234.7038596491227,3441.6366666666668,57,-17306.441795,15362.432099999998,23141.245593762516
18,17,-1068.8418508064517,3497.6470295698928,744,-369652.142476,202936.05122,421693.9024006198
19,18,2852.5709190031153,2254.76523364486,642,-1558874.37231,834643.27028,1768253.007142527
20,19,2688.060930232558,2607.193023255814,43,34504.079000000005,30823.379,46266.75005461138
21,20,2552.4003125,2704.340625,64,-104296.918,-56244.8249,118496.10724547193
22,21,2224.55004127967,2890.8309081527345,969,1411316.56363,133520.01579,1417618.4385768103
23,22,427.89273076923075,3108.215769230769,26,90788.9374,-200245.6697,219865.7758447699
24,23,1542.1933333333334,3393.4292857142855,42,-11331.6895,-7173.304700000001,13411.319369974468
25,24,-1839.1858108108108,3079.5318918918915,74,-136661.7411,-53529.0911,146771.23381124632
26,25,-1892.7587596899225,2640.852480620155,258,-88776.32317,-38030.84907000001,96579.40275529458
27,26,-1901.3956410256408,3245.6810256410254,39,-111695.5656,-169309.9191,202834.28724047728
28,27,162.62645454545455,3068.895,22,69859.651,-210412.6587,221706.69313091223
29,28,2454.84512345679,2057.8725925925924,162,201198.46649,182136.6439,271393.7729003432
30,29,2210.9977155172414,2440.9394827586207,232,287760.36905,193854.29858,346966.16416263994
31,30,2245.2655555555557,2569.761555555556,45,18266.9435,20559.39768,27502.182782400774
32,31,2370.3212,2568.1076000000003,25,31111.329999999998,12286.3457,33449.50141674474
33,32,2201.4150000000004,1919.6770075757574,264,306475.2983,267888.74574,407052.1939042024
34,33,2094.872300613497,2170.2280061349693,326,348039.07749,305179.3594,462888.36760485196
35,34,2353.56671875,2217.577890625,128,162882.1855,170426.2132,235744.99040053482
36,35,2484.9447311827957,2313.5044086021508,93,112037.6964,97947.18519999999,148815.6460296486
37,36,2587.6530769230767,2465.4082692307693,52,66223.4822,50637.79545,83365.07615740394
38,37,2502.2339024390244,2476.257804878049,41,40708.92,18326.530000000002,44643.90069659348
39,38,-270.2869242424243,-3402.9810606060605,66,36506.23673,-42554.928700000004,56068.05932836346
40,39,-242.87488679245286,-3581.1024528301887,106,-12505.7527,-111951.4283,112647.7525253105
41,40,539.6503112244898,2698.548112244898,196,-30591.569900000006,5713.0559,31120.462025219214
42,41,608.43452,2921.5170000000003,50,157280.38760000002,-170959.0878,232301.808053692
43,42,-1973.7476923076924,2084.1292307692306,26,-1070.3035999999995,10746.06839,10799.237734151895
44,43,-2190.895597826087,1956.690108695652,184,-120201.22364,58996.54619,133898.94184384766
45,44,683.173614973262,-3420.971390374332,187,-438453.5681,-314965.2085,539856.1048511629
46,45,-2573.7767741935486,2182.9787096774194,31,-24141.377999999997,-7452.670000000001,25265.558016156774
47,46,-2321.925111111111,2194.217111111111,270,-95999.88881,174381.18885,199059.73394002044
48,47,1171.711224489796,-2992.4757142857143,49,-20065.64299,107078.6547,108942.5000675309
49,48,1139.2041176470589,-3121.172205882353,68,500929.77177,-515862.2075,719058.031992076
50,49,1105.1515151515152,-3242.81,33,67086.1569,-25339.9033,71712.36397487373
51,50,883.3924,2904.169,40,8036.6167,-43.16160000000036,8036.732601401732
52,51,-25.069157405685186,-3563.7974074074073,54,-38041.584599999995,-89758.6794,97487.34628920279
